PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=93.2 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=92.3 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=96.8 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=89.5 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=93.8 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=96.7 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=96.3 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=98.2 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=34.9 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=93.5 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=95.4 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=96.3 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=91.1 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=99.0 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=95.8 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=99.9 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=94.0 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=94.6 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=96.2 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=90.7 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=355 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=99.7 ms
64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=360 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=361 ttl=64 time=96.8 ms
64 bytes from 10.0.0.2: icmp_seq=362 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=363 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=366 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=367 ttl=64 time=66.3 ms
64 bytes from 10.0.0.2: icmp_seq=368 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=373 ttl=64 time=90.5 ms
64 bytes from 10.0.0.2: icmp_seq=374 ttl=64 time=99.6 ms
64 bytes from 10.0.0.2: icmp_seq=375 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=378 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=379 ttl=64 time=95.4 ms
64 bytes from 10.0.0.2: icmp_seq=380 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=381 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=383 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=384 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=385 ttl=64 time=78.1 ms
64 bytes from 10.0.0.2: icmp_seq=386 ttl=64 time=93.3 ms
64 bytes from 10.0.0.2: icmp_seq=387 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=388 ttl=64 time=96.7 ms
64 bytes from 10.0.0.2: icmp_seq=389 ttl=64 time=86.7 ms
64 bytes from 10.0.0.2: icmp_seq=390 ttl=64 time=76.7 ms
64 bytes from 10.0.0.2: icmp_seq=391 ttl=64 time=92.0 ms
64 bytes from 10.0.0.2: icmp_seq=392 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=393 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=396 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=397 ttl=64 time=84.8 ms
64 bytes from 10.0.0.2: icmp_seq=398 ttl=64 time=96.5 ms
64 bytes from 10.0.0.2: icmp_seq=399 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_seq=402 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=403 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=404 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=406 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=407 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=408 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=411 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=412 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=413 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=415 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=416 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=417 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=421 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=422 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=423 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=425 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=426 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=427 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=428 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=429 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=430 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=431 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=433 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=434 ttl=64 time=81.0 ms
64 bytes from 10.0.0.2: icmp_seq=435 ttl=64 time=89.9 ms
64 bytes from 10.0.0.2: icmp_seq=436 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=437 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=439 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=440 ttl=64 time=93.3 ms
64 bytes from 10.0.0.2: icmp_seq=441 ttl=64 time=92.7 ms
64 bytes from 10.0.0.2: icmp_seq=442 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=443 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=444 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=445 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=446 ttl=64 time=93.3 ms
64 bytes from 10.0.0.2: icmp_seq=447 ttl=64 time=92.7 ms
64 bytes from 10.0.0.2: icmp_seq=448 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=449 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=451 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=452 ttl=64 time=96.7 ms
64 bytes from 10.0.0.2: icmp_seq=454 ttl=64 time=87.2 ms
